종목코드,종목명,종가,대비,등락률,상장시가총액
196170,알테오젠,376500,-2500,-0.66,20074539.0
247540,에코프로비엠,170500,300,0.18,16675129.0
86520,에코프로,79000,-1400,-1.74,10517929.0
28300,HLB,66000,300,0.46,8671571.0
141080,리가켐바이오,129000,200,0.16,4722734.0
348370,엔켐,174800,900,0.52,3633554.0
145020,휴젤,273000,-500,-0.18,3440901.0
214150,클래시스,50700,-1000,-1.93,3321137.0
250,삼천당제약,135300,7900,6.2,3173796.0
58470,리노공업,182600,3900,2.18,2783257.0
68760,셀트리온제약,62300,300,0.48,2591704.0
403870,HPSP,30750,1400,4.77,2550225.0
263750,펄어비스,38700,-50,-0.13,2486392.0
277810,레인보우로보틱스,122500,-800,-0.65,2376483.0
214450,파마리서치,225500,-8500,-3.63,2367353.0
257720,실리콘투,38200,-500,-1.29,2325358.0
39030,이오테크닉스,171100,3600,2.15,2107875.0
310210,보로노이,110600,7900,7.69,2030239.0
237690,에스티팜,100300,2900,2.98,2018690.0
87010,펩트론,88000,0,0.0,1817847.0
298380,에이비엘바이오,37500,50,0.13,1801792.0
35900,JYP Ent.,48850,-600,-1.21,1735762.0
89030,테크윙,44600,3000,7.21,1665973.0
78600,대주전자재료,108200,1700,1.6,1675000.0
41510,에스엠,70900,900,1.29,1655772.0
178320,서진시스템,28650,750,2.69,1611504.0
357780,솔브레인,204000,9000,4.62,1586827.0
140860,파크시스템스,214000,9000,4.39,1494492.0
293490,카카오게임즈,17760,190,1.08,1468172.0
36930,주성엔지니어링,31000,1150,3.85,1465318.0
7390,네이처셀,21850,1850,9.25,1406204.0
5290,동진쎄미켐,27050,450,1.69,1390762.0
195940,HK이노엔,49600,2300,4.86,1405163.0
35760,CJ ENM,62900,900,1.45,1379344.0
95340,ISC,65300,1100,1.71,1384168.0
240810,원익IPS,27850,350,1.27,1366987.0
112040,위메이드,38900,-100,-0.26,1320596.0
86900,메디톡스,172100,2100,1.24,1256071.0
96530,씨젠,23900,400,1.7,1248201.0
137400,피엔티,52600,700,1.35,1248886.0
18290,브이티,34000,2150,6.75,1217132.0
253450,스튜디오드래곤,40800,650,1.62,1226387.0
204270,제이앤티씨,20850,-100,-0.48,1206141.0
328130,루닛,39750,750,1.92,1147708.0
67160,SOOP,96000,6000,6.67,1103498.0
39200,오스코텍,28300,-100,-0.35,1082310.0
31980,피에스케이홀딩스,50800,300,0.59,1095370.0
140410,메지온,35800,1600,4.68,1072687.0
121600,나노신소재,87000,3600,4.32,1061059.0
67630,HLB생명과학,8880,120,1.37,1053872.0
417200,LS머트리얼즈,15510,320,2.11,1049293.0
36830,솔브레인홀딩스,49150,-50,-0.1,1030383.0
64760,티씨케이,85500,4000,4.91,998213.0
281740,레이크머티리얼즈,14850,530,3.7,976099.0
85660,차바이오텍,17230,380,2.26,970298.0
225570,넥슨게임즈,14230,-930,-6.13,937190.0
214370,케어젠,16990,540,3.28,912618.0
