종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,59200,100,0.17,353411127.0
660,SK하이닉스,186300,-8700,-4.46,135626841.0
373220,LG에너지솔루션,407500,-4000,-0.97,95355000.0
207940,삼성바이오로직스,1002000,-29000,-2.81,71316348.0
5380,현대차,215000,-5500,-2.49,45024481.0
68270,셀트리온,182500,-5200,-2.77,39606367.0
270,기아,91900,-2200,-2.34,36746989.0
105560,KB금융,90300,-3600,-3.83,35535617.0
5490,POSCO홀딩스,335500,-4500,-1.32,27720478.0
35420,NAVER,170000,-4400,-2.52,27333366.0
55550,신한지주,51300,-3200,-5.87,26131872.0
12330,현대모비스,249500,1000,0.4,23202276.0
6400,삼성SDI,327000,-12000,-3.54,22486001.0
51910,LG화학,313500,-7000,-2.18,22130700.0
28260,삼성물산,117000,-12900,-9.93,20800741.0
10130,고려아연,998000,-83000,-7.68,20661876.0
32830,삼성생명,101500,-300,-0.29,20300000.0
138040,메리츠금융지주,102700,200,0.2,19586956.0
3670,포스코퓨처엠,224500,-4000,-1.75,17390493.0
86790,하나금융지주,59900,-2700,-4.31,17205729.0
12450,한화에어로스페이스,368000,-7500,-2.0,16773867.0
35720,카카오,36950,-400,-1.07,16388467.0
329180,HD현대중공업,182600,-4800,-2.56,16209971.0
810,삼성화재,336500,-10000,-2.89,15941633.0
259960,크래프톤,331000,-13000,-3.78,15854938.0
15760,한국전력,23100,150,0.65,14829370.0
66570,LG전자,89500,-2000,-2.19,14646479.0
33780,KT&G,109700,-300,-0.27,14296378.0
9540,HD한국조선해양,183400,-3400,-1.82,12979789.0
11200,HMM,17120,-150,-0.87,12823556.0
34020,두산에너빌리티,20050,-1350,-6.31,12843251.0
17670,SK텔레콤,56700,-200,-0.35,12178596.0
3550,LG,75700,-2300,-2.95,11907685.0
267260,HD현대일렉트릭,327500,-15500,-4.52,11805437.0
402340,SK스퀘어,84800,-4800,-5.36,11426797.0
316140,우리금융지주,15430,-470,-2.96,11458187.0
24110,기업은행,14100,-360,-2.49,11243705.0
96770,SK이노베이션,117400,-1400,-1.18,11239358.0
100,유한양행,138700,-3300,-2.32,11124997.0
30200,KT,44350,0,0.0,11177162.0
18260,삼성에스디에스,143100,-8900,-5.86,11072763.0
34730,SK,148200,-1200,-0.8,10744901.0
323410,카카오뱅크,21650,-450,-2.04,10326263.0
326030,SK바이오팜,117900,-1700,-1.42,9233132.0
86280,현대글로비스,122100,600,0.49,9157500.0
47050,포스코인터내셔널,52300,-700,-1.32,9200762.0
42700,한미반도체,92000,-4300,-4.47,8923414.0
9150,삼성전기,118400,700,0.59,8843734.0
3490,대한항공,23900,-150,-0.62,8800474.0
10140,삼성중공업,9590,0,0.0,8439200.0
42660,한화오션,26750,-800,-2.9,8196558.0
352820,하이브,185500,-6800,-3.54,7726464.0
5830,DB손해보험,109300,-1700,-1.53,7738440.0
450080,에코프로머티,112500,-2300,-2.0,7770442.0
64350,현대로템,62400,-1400,-2.19,6810479.0
90430,아모레퍼시픽,116600,-3600,-3.0,6820256.0
10950,S-Oil,57300,-600,-1.04,6450994.0
267250,HD현대,79800,500,0.63,6303648.0
47810,한국항공우주,58500,-1500,-2.5,5702294.0
180640,한진칼,84600,-2300,-2.65,5648089.0
11790,SKC,151700,7000,4.84,5744621.0
79550,LIG넥스원,248000,-3000,-1.2,5456000.0
6800,미래에셋증권,9060,-170,-1.84,5393567.0
34220,LG디스플레이,10640,-50,-0.47,5320000.0
51900,LG생활건강,331500,2000,0.61,5177432.0
251270,넷마블,58000,700,1.22,4985303.0
29780,삼성카드,40400,250,0.62,4680699.0
36570,엔씨소프트,217500,-500,-0.23,4775000.0
454910,두산로보틱스,70200,500,0.72,4550363.0
21240,코웨이,63000,500,0.8,4649376.0
161390,한국타이어앤테크놀로지,35300,50,0.14,4372790.0
10620,HD현대미포,109800,1700,1.57,4385648.0
10120,LS ELECTRIC,146300,-3500,-2.34,4389000.0
5940,NH투자증권,13370,-500,-3.6,4378572.0
32640,LG유플러스,10010,30,0.3,4370480.0
66970,엘앤에프,118100,5900,5.26,4286598.0
71050,한국금융지주,77100,-1000,-1.28,4296474.0
97950,CJ제일제당,274500,2500,0.92,4132374.0
302440,SK바이오사이언스,54100,1300,2.46,4238589.0
11070,LG이노텍,177600,1600,0.91,4203278.0
22100,포스코DX,27300,450,1.68,4150548.0
11170,롯데케미칼,95400,2500,2.69,4080775.0
128940,한미약품,320500,-9500,-2.88,4105923.0
16360,삼성증권,45900,-250,-0.54,4098870.0
271560,오리온,99800,2500,2.57,3945706.0
78930,GS,41200,-400,-0.96,3828114.0
241560,두산밥캣,37500,-950,-2.47,3759344.0
3230,삼양식품,520000,8000,1.56,3917168.0
35250,강원랜드,17860,160,0.9,3820977.0
11780,금호석유,142600,200,0.14,3897912.0
36460,한국가스공사,39200,-200,-0.51,3618670.0
9830,한화솔루션,21450,-50,-0.23,3687095.0
175330,JB금융지주,17910,-70,-0.39,3493940.0
272210,한화시스템,18260,-880,-4.6,3449668.0
28050,삼성E&A,17860,-370,-2.03,3500560.0
39490,키움증권,134600,400,0.3,3435895.0
5070,코스모신소재,103500,800,0.78,3364863.0
6260,LS,104600,-1700,-1.6,3368120.0
4020,현대제철,25350,50,0.2,3382851.0
150,두산,200500,-2000,-0.99,3313029.0
8930,한미사이언스,47750,-4350,-8.35,3265697.0
377300,카카오페이,24550,550,2.29,3304822.0
720,현대건설,27900,-350,-1.24,3106826.0
138930,BNK금융지주,9440,-10,-0.11,3024923.0
1040,CJ,102800,200,0.19,2999395.0
1450,현대해상,30350,-200,-0.65,2713290.0
52690,한전기술,68800,-2400,-3.37,2629536.0
4990,롯데지주,23950,100,0.42,2512576.0
26960,동서,26650,-950,-3.44,2657005.0
88350,한화생명,2960,30,1.02,2570849.0
12750,에스원,64600,1700,2.7,2454747.0
9420,한올바이오파마,44200,-600,-1.34,2309036.0
2380,KCC,262500,1000,0.38,2332699.0
1570,금양,41500,3250,8.5,2409077.0
383220,F&F,62500,3700,6.29,2394192.0
361610,SK아이이테크놀로지,34400,1800,5.52,2452637.0
112610,씨에스윈드,58500,400,0.69,2467027.0
81660,휠라홀딩스,39900,450,1.14,2397824.0
1440,대한전선,11730,-240,-2.01,2187027.0
4370,농심,374500,12500,3.45,2277949.0
7070,GS리테일,21600,800,3.85,2261907.0
18880,한온시스템,3970,65,1.66,2119186.0
30000,제일기획,18440,110,0.6,2121360.0
489790,한화인더스트리얼솔루션즈,42300,-2650,-5.9,2135659.0
120,CJ대한통운,87800,500,0.57,2002924.0
880,한화,28050,0,0.0,2102593.0
282330,BGF리테일,115700,1600,1.4,1999748.0
103140,풍산,69400,1200,1.76,1944885.0
51600,한전KPS,44850,-500,-1.1,2018250.0
2790,아모레G,22350,-700,-3.04,1842940.0
6280,녹십자,162400,2900,1.82,1897894.0
8770,호텔신라,44600,1300,3.0,1750466.0
17800,현대엘리베이,47300,600,1.28,1849070.0
139480,이마트,65300,400,0.62,1820291.0
28670,팬오션,3555,50,1.43,1900395.0
69620,대웅제약,159000,9600,6.43,1842265.0
111770,영원무역,42300,2350,5.88,1874375.0
23530,롯데쇼핑,66000,900,1.38,1867058.0
240,한국앤컴퍼니,16750,400,2.45,1590165.0
7310,오뚜기,421500,12000,2.93,1689300.0
204320,HL만도,36350,100,0.28,1706891.0
192820,코스맥스,150900,3600,2.44,1712641.0
161890,한국콜마,70900,1900,2.75,1673600.0
80,하이트진로,21200,200,0.95,1486833.0
3090,대웅,25950,1150,4.64,1508784.0
4170,신세계,153800,2400,1.59,1514189.0
5850,에스엘,33150,1050,3.27,1539768.0
139130,DGB금융지주,8170,30,0.37,1381921.0
14680,한솔케미칼,126500,4000,3.27,1433902.0
14820,동원시스템즈,51000,1250,2.51,1478555.0
47040,대우건설,3535,-110,-3.02,1469226.0
6360,GS건설,17770,-100,-0.56,1520783.0
4000,롯데정밀화학,46250,1550,3.47,1193250.0
9240,한샘,53200,1400,2.7,1252005.0
9970,영원무역홀딩스,88200,1200,1.38,1202659.0
10060,OCI홀딩스,68800,1300,1.93,1315962.0
42670,HD현대인프라코어,6650,-20,-0.3,1281162.0
457190,이수스페셜티케미컬,40600,-50,-0.12,1226456.0
185750,종근당,102800,1500,1.48,1354330.0
280360,롯데웰푸드,130500,2000,1.56,1231212.0
298020,효성티앤씨,308500,10500,3.52,1335090.0
375500,DL이앤씨,30900,250,0.82,1195633.0
73240,금호타이어,4435,15,0.34,1273999.0
1120,LX인터내셔널,30500,850,2.87,1182180.0
1740,SK네트웍스,5260,60,1.15,1163922.0
1800,오리온홀딩스,16810,130,0.78,1053070.0
2710,TCC스틸,43750,-1400,-3.1,1146849.0
5300,롯데칠성,122000,4800,4.1,1132024.0
336260,두산퓨얼셀,17450,120,0.69,1142866.0
69960,현대백화점,47100,1000,2.17,1102255.0
137310,에스디바이오센서,9070,50,0.55,1129010.0
192080,더블유게임즈,53200,1100,2.11,1143582.0
298050,HS효성첨단소재,266000,1000,0.38,1191666.0
11210,현대위아,41700,-750,-1.77,1134035.0
210,DL,40950,1350,3.41,858143.0
3620,KG모빌리티,4505,90,2.04,884801.0
4490,세방전지,70800,3100,4.58,991200.0
300720,한일시멘트,14190,200,1.43,982821.0
120110,코오롱인더,32500,850,2.69,894370.0
145720,덴티움,78700,200,0.25,871117.0
285130,SK케미칼,50000,700,1.42,862689.0
4800,효성,49800,500,1.01,833672.0
670,영풍,400000,40000,11.11,736816.0
271940,일진하이솔루스,21000,750,3.7,762577.0
1680,대상,20600,300,1.48,713749.0
3030,세아제강지주,170600,7700,4.73,706567.0
5250,녹십자홀딩스,16380,640,4.07,770322.0
5420,코스모화학,21450,50,0.23,823856.0
6110,삼아알미늄,51000,500,0.99,750308.0
6650,대한유화,107600,4000,3.86,699400.0
8730,율촌화학,28700,500,1.77,711760.0
9900,명신산업,13590,590,4.54,713069.0
16380,KG스틸,6830,110,1.64,683061.0
32350,롯데관광개발,9720,120,1.25,740627.0
39130,하나투어,49300,1300,2.71,790732.0
69260,TKG휴켐스,19870,110,0.56,812258.0
93370,후성,6270,170,2.79,672491.0
