stock_code,stock_name,corp_code,market
005930,삼성전자,00126380,KOSPI200
000660,SK하이닉스,00164779,KOSPI200
207940,삼성바이오로직스,00877059,KOSPI200
373220,LG에너지솔루션,01515323,KOSPI200
005380,현대차,00164742,KOSPI200
068270,셀트리온,00413046,KOSPI200
000270,기아,00106641,KOSPI200
035420,NAVER,00266961,KOSPI200
105560,KB금융,00688996,KOSPI200
329180,HD현대중공업,01390344,KOSPI200
055550,신한지주,00382199,KOSPI200
012330,현대모비스,00164788,KOSPI200
012450,한화에어로스페이스,00126566,KOSPI200
138040,메리츠금융지주,00860332,KOSPI200
028260,삼성물산,00149655,KOSPI200
042660,한화오션,00111704,KOSPI200
005490,POSCO홀딩스,00155319,KOSPI200
035720,카카오,00258801,KOSPI200
096770,SK이노베이션,00631518,KOSPI200
259960,크래프톤,00760971,KOSPI200
032830,삼성생명,00126256,KOSPI200
000810,삼성화재,00139214,KOSPI200
086790,하나금융지주,00547583,KOSPI200
011200,HMM,00164645,KOSPI200
010130,고려아연,00102858,KOSPI200
009540,HD한국조선해양,00164830,KOSPI200
051910,LG화학,00356361,KOSPI200
034020,두산에너빌리티,00159616,KOSPI200
006400,삼성SDI,00126362,KOSPI200
267260,HD현대일렉트릭,01205851,KOSPI200
033780,KT&G,00244455,KOSPI200
015760,한국전력,00159193,KOSPI200
066570,LG전자,00401731,KOSPI200
402340,SK스퀘어,01596425,KOSPI200
316140,우리금융지주,01350869,KOSPI200
024110,기업은행,00149646,KOSPI200
017670,SK텔레콤,00159023,KOSPI200
030200,KT,00190321,KOSPI200
323410,카카오뱅크,01133217,KOSPI200
010140,삼성중공업,00126478,KOSPI200
000100,유한양행,00145109,KOSPI200
009150,삼성전기,00126371,KOSPI200
003550,LG,00120021,KOSPI200
034730,SK,00181712,KOSPI200
352820,하이브,01204056,KOSPI200
086280,현대글로비스,00360595,KOSPI200
003670,포스코퓨처엠,00155276,KOSPI200
326030,SK바이오팜,00878696,KOSPI200
018260,삼성에스디에스,00126186,KOSPI200
042700,한미반도체,00161383,KOSPI200
003490,대한항공,00113526,KOSPI200
064350,현대로템,00302926,KOSPI200
005830,DB손해보험,00159102,KOSPI200
047050,포스코인터내셔널,00124504,KOSPI200
090430,아모레퍼시픽,00583424,KOSPI200
010950,S-Oil,00138279,KOSPI200
010120,LS ELECTRIC,00105855,KOSPI200
003230,삼양식품,00126955,KOSPI200
267250,HD현대,01205709,KOSPI200
011790,SKC,00139889,KOSPI200
079550,LIG넥스원,00503668,KOSPI200
021240,코웨이,00170558,KOSPI200
180640,한진칼,00983040,KOSPI200
047810,한국항공우주,00309503,KOSPI200
000150,두산,00117212,KOSPI200
450080,에코프로머티,01311408,KOSPI200
051900,LG생활건강,00356370,KOSPI200
161390,한국타이어앤테크놀로지,00937324,KOSPI200
241560,두산밥캣,01032486,KOSPI200
029780,삼성카드,00126292,KOSPI200
005940,NH투자증권,00120182,KOSPI200
006800,미래에셋증권,00111722,KOSPI200
272210,한화시스템,00339391,KOSPI200
298040,효성중공업,01316245,KOSPI200
034220,LG디스플레이,00105873,KOSPI200
032640,LG유플러스,00231363,KOSPI200
071050,한국금융지주,00432102,KOSPI200
010620,HD현대미포,00164609,KOSPI200
454910,두산로보틱스,01105153,KOSPI200
377300,카카오페이,01244601,KOSPI200
016360,삼성증권,00104856,KOSPI200
271560,오리온,01238169,KOSPI200
251270,넷마블,00904672,KOSPI200
036570,엔씨소프트,00261443,KOSPI200
011070,LG이노텍,00105961,KOSPI200
302440,SK바이오사이언스,01319899,KOSPI200
078930,GS,00500254,KOSPI200
097950,CJ제일제당,00635134,KOSPI200
138930,BNK금융지주,00858364,KOSPI200
000720,현대건설,00164478,KOSPI200
006260,LS,00105952,KOSPI200
028050,삼성E&A,00126308,KOSPI200
035250,강원랜드,00255619,KOSPI200
175330,JB금융지주,00980122,KOSPI200
128940,한미약품,00828497,KOSPI200
009830,한화솔루션,00162461,KOSPI200
011780,금호석유,00106368,KOSPI200
066970,엘앤에프,00398701,KOSPI200
022100,포스코DX,00155212,KOSPI200
039490,키움증권,00296290,KOSPI200
018880,한온시스템,00161125,KOSPI200
004020,현대제철,00145880,KOSPI200
001040,CJ,00148540,KOSPI200
036460,한국가스공사,00261285,KOSPI200
052690,한전기술,00159209,KOSPI200
383220,F&F,01568413,KOSPI200
081660,휠라홀딩스,00195229,KOSPI200
000880,한화,00160588,KOSPI200
026960,동서,00144395,KOSPI200
011170,롯데케미칼,00165413,KOSPI200
